City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
223,Udachnyy,66.4167,112.4,-48.87,100,70,3.29,RU,2021-12-14 02:05:32
224,Krutinka,56.0055,71.5113,4.03,96,99,4.99,RU,2021-12-14 02:05:33
225,Kiunga,-6.1219,141.2906,90.25,49,59,3.71,PG,2021-12-14 02:05:33
226,Cedar City,37.6775,-113.0619,45.57,36,75,17.27,US,2021-12-14 02:01:57
227,Yanam,16.7333,82.2167,73.8,77,100,7.25,IN,2021-12-14 02:05:33
228,Roald,62.5833,6.1333,42.94,75,40,12.66,NO,2021-12-14 02:06:34
229,Sur,22.5667,59.5289,72.18,50,0,9.89,OM,2021-12-14 02:06:34
230,Porto Novo,6.4965,2.6036,79.3,86,27,5.41,BJ,2021-12-14 02:06:35
231,Krasnorechenskiy,44.6265,135.3532,23.43,60,3,8.14,RU,2021-12-14 02:06:35
232,Ecija,37.5422,-5.0826,54.86,71,0,6.22,ES,2021-12-14 02:06:35
233,Berlevag,70.8578,29.0864,34.23,91,100,14.47,NO,2021-12-14 02:01:40
234,Bandar-E Anzali,37.4727,49.4622,53.82,86,100,6.04,IR,2021-12-14 02:06:36
235,Sar-E Pul,35.8333,66.1667,27.46,94,97,0.96,AF,2021-12-14 02:06:36
236,Khatanga,71.9667,102.5,-5.57,88,100,19.42,RU,2021-12-14 02:05:21
237,Grenfell,-33.9,148.1667,83.52,28,100,5.32,AU,2021-12-14 02:06:36
238,Bethel,41.3712,-73.414,47.8,48,1,4.0,US,2021-12-14 02:04:12
239,Manzhouli,49.6,117.4333,8.04,81,13,14.85,CN,2021-12-14 02:06:37
240,Vredendal,-31.6683,18.5012,61.92,83,25,1.32,ZA,2021-12-14 02:06:37
241,Clyde River,70.4692,-68.5914,-21.23,97,41,3.94,CA,2021-12-14 02:06:38
242,Tecoanapa,16.5167,-98.75,79.21,71,0,2.93,MX,2021-12-14 02:06:38
243,Olden,61.8364,6.8064,41.9,98,100,6.17,NO,2021-12-14 02:06:38
244,Poum,-20.2333,164.0167,79.07,87,100,31.85,NC,2021-12-14 02:06:39
245,Esperance,-33.8667,121.9,66.94,59,0,15.5,AU,2021-12-14 02:06:39
246,Killybegs,54.6333,-8.45,42.46,83,100,15.41,IE,2021-12-14 02:06:39
247,Mehriz,31.5917,54.4318,40.21,42,0,1.05,IR,2021-12-14 02:06:40
