City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
274,Puerto Padre,CU,70.81,broken clouds,21.195,-76.6028,El Paseo
276,Asfi,MA,62.96,overcast clouds,32.2994,-9.2372,Hôtel Abda
277,Puerto Ayora,EC,70.5,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
279,Victoria,HK,67.32,few clouds,22.2855,114.1577,Mini Hotel Central
280,Quatre Cocos,MU,76.08,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
282,Proddatur,IN,63.9,few clouds,14.7333,78.55,Sri Swasthik Residency
283,Port Elizabeth,ZA,59.09,broken clouds,-33.918,25.5701,39 On Nile Guest House
289,Paragominas,BR,74.71,overcast clouds,-2.9667,-47.4833,INOVA
291,Jalingo,NG,76.08,overcast clouds,8.8833,11.3667,Debright Motel
292,Timaru,NZ,67.06,broken clouds,-44.4,171.25,The Grosvenor
295,Imbituba,BR,73.29,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
296,Myrtle Beach,US,54.09,clear sky,33.6891,-78.8867,Bay View Resort Myrtle Beach
297,Iquique,CL,69.66,broken clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
298,Portoferraio,IT,58.96,overcast clouds,42.8115,10.3146,Hotel Villa Ombrosa
303,Valvedditturai,LK,75.78,clear sky,9.8167,80.1667,Kanahathy Vadali
304,Sohag,EG,51.69,clear sky,26.557,31.6948,Civil Registry - Sohag 1
305,Fairhope,US,67.71,clear sky,30.523,-87.9033,Hampton Inn Fairhope-Mobile Bay
306,Manjacaze,MZ,70.47,broken clouds,-24.7117,33.8828,Hotel Gani
308,Muisne,EC,75.85,overcast clouds,0.6,-80.0333,Quinta Samay
309,Pyu,MM,58.35,clear sky,18.4833,96.4333,Mr Bo Bo
311,Constitucion,CL,61.63,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
312,Vereeniging,ZA,66.85,clear sky,-26.6731,27.9261,Riviera on Vaal Resort
314,Mananara,MG,75.58,light rain,-16.1667,49.7667,Chez Roger
316,Padang,ID,75.25,scattered clouds,-0.9492,100.3543,Mercure Padang
318,Concordia,AR,77.83,clear sky,-31.393,-58.0209,Palmar Hotel Casino
319,Saint-Joseph,RE,77.38,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
320,Half Moon Bay,US,55.83,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
326,Ewo,CG,73.11,scattered clouds,-0.8725,14.8206,Residence Elonda Ewo
331,Richards Bay,ZA,67.14,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
334,Dickinson,US,75.2,broken clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
337,Galveston,US,75.22,broken clouds,29.3669,-94.9669,Comfort Inn & Suites Texas City
338,Ballitoville,ZA,66.24,overcast clouds,-29.539,31.2144,Hampshire Hotel-Ballito
340,Terra Santa,BR,77.4,moderate rain,-2.1042,-56.4869,Hotel Sarah
341,Gbarnga,LR,71.22,scattered clouds,6.9956,-9.4722,Passion Hotel 2
342,Waddan,LY,53.53,clear sky,29.1614,16.139,محل الشريف محمد العايب
